No,Fecha,Hora,Horario,Descarga,Subida,Ping
1,25/08/2026,9:00,mañana,73.42,10.13,15.0
2,25/08/2026,14:12,tarde,82.8,10.08,12.0
3,25/08/2026,20:25,noche,80.05,10.04,14.0
4,26/08/2026,8:30,mañana,82.69,10.11,13.0
5,26/08/2026,14:50,tarde,82.42,9.9,12.0
6,26/08/2026,19:08,noche,82.25,10.01,12.0
7,28/08/2026,10:16,mañana,74.61,10.08,12.0
8,28/08/2026,16:53,tarde,80.57,9.69,17.0
9,28/08/2026,23:55,noche,82.16,10.07,11.0
10,03/09/2026,11:00,mañana,82.51,10.11,12.0
11,03/09/2026,15:53,tarde,74.53,9.99,17.0
12,03/09/2026,,noche,80.34,10.04,13.0
13,08/09/2026,8:33,mañana,83.62,10.07,14.0
14,08/09/2026,16:55,tarde,79.96,10.09,14.0
15,08/09/2026,19:18,noche,63.5,10.12,12.0
16,09/09/2026,8:08,mañana,82.81,9.72,11.0
17,09/09/2026,13:25,tarde,73.99,10.11,14.0
18,09/09/2026,22:20,noche,78.06,10.06,18.0
19,10/09/2026,8:30,mañana,83.39,9.83,12.0
20,10/09/2026,16:50,tarde,82.3,10.11,14.0
21,10/09/2026,22:20,noche,11.15,5.69,28.0
22,11/09/2026,6:24,mañana,80.06,9.71,11.0
23,11/09/2026,18:58,tarde,78.91,10.11,11.0
24,11/09/2026,,noche,80.34,10.04,13.0
25,13/09/26,8:55,mañana,72.08,9.81,12.0
26,13/09/26,3:30,tarde,76.51,10.21,19.0
27,13/09/26,21:58,noche,80.64,10.05,17.0
28,14/09/26,6:38,mañana,78.53,10.13,12.0
29,14/09/26,15:28,tarde,80.78,10.07,12.0
30,14/09/26,19:02,noche,83.31,9.95,12.0
